,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
77,Malaysia,2019,16.43381107832,-207.7881264813333,3.00,3.8,-0.8,4.0,25.0,25.0,13.8,23.7,84.1,74.0,83.9,74.4,78.6,82.0,60,50,-4.75687912,-1.059989124,1348.248155,199888313632,6.745007401894254e-07
78,Malaysia,2020,9.54771504275,-2.4213346405833334,1.75,1.0,0.75,4.0,25.0,25.0,13.6,22.6,86.5,74.7,87.8,74.5,81.6,82.0,60,50,1.541963241,-1.75310516,16751.882,5364487230960,3.122736857927459e-07
79,Malaysia,2021,12.445793877016667,-3.658300360783333,1.75,0.7,1.05,3.8,30.0,24.0,12.0,22.8,85.1,74.4,86.7,73.9,83.6,82.4,60,50,-2.186482847,3.382908643,26069.56,17321689358183,1.5050241036498206e-07
80,Malaysia,2022,-8.43695094175,4.24916271875,2.75,-1.1,3.85,3.9,30.0,24.0,12.0,23.9,65.6,68.1,67.1,57.0,83.6,82.2,60,50,-3.457606721,5.957086373,12880.593,10964475110592,1.174756919057345e-07
81,New Zealand,2014,-5.961019962175,5.104308711416667,3.50,1.1,2.4,1.6,33.0,28.0,31.7,47.5,95.0,81.2,96.1,90.2,86.3,86.8,80,80,16.75892296,5.002053185,3181.3195,287702640,0.0011057665303314
82,New Zealand,2015,2.2982134467416673,0.9974955204750003,2.50,1.1,1.4,1.6,33.0,28.0,32.9,43.6,95.0,82.1,95.5,91.4,87.6,86.8,80,80,12.88079919,14.47935717,6106.6692,383432300,0.0015926329628463
83,New Zealand,2016,6.834429468250001,4.708496059233334,1.75,1.2,0.55,1.4,33.0,28.0,32.1,42.4,95.0,81.6,91.4,85.9,88.1,87.2,80,80,9.606729867,-1.834236996,5547.1678,1028608400,0.0005392885961265
84,New Zealand,2017,30.702802092833334,5.736323301206667,1.75,0.3,1.45,1.3,33.0,28.0,32.4,41.9,96.1,83.7,91.8,86.2,90.1,87.4,80,80,20.41449273,-1.710935539,7066.984,30386367280,2.325708741318156e-05
85,New Zealand,2018,-4.41410619171,12.666923433666668,1.75,0.6,1.15,1.3,33.0,28.0,32.8,41.0,95.1,84.2,91.5,84.4,90.0,87.4,80,80,4.585916856,5.749918569,2660.3486,66562087763,3.996792602828803e-06
86,New Zealand,2019,-2.6507529730858335,-110.89115714641667,1.00,1.9,-0.9,1.3,33.0,28.0,32.1,40.7,95.0,84.4,91.0,86.7,87.5,92.4,80,80,31.60116024,-0.4017941924,0.0,199888313632,0.0
87,New Zealand,2020,22.128907261583333,-43.95075412866667,0.25,1.6,-1.35,1.4,33.0,28.0,32.0,37.5,93.3,84.1,90.4,86.7,87.0,92.2,80,80,12.92574786,-6.661029603,1450.9294,5364487230960,2.704693547644719e-08
88,New Zealand,2021,12.743671460666667,-5.622437575041666,0.75,1.6,-0.85,2.4,33.0,28.0,32.7,37.4,91.3,83.9,89.9,86.3,86.9,90.2,80,80,-2.497677973,5.636306679,1903.0586,17321689358183,1.0986564651102981e-08
89,New Zealand,2022,-8.271082971166667,4.146586187683334,4.25,1.7,2.55,2.5,33.0,28.0,32.3,39.4,88.2,80.6,81.3,70.5,81.8,90.0,70,80,-12.75354525,7.635032177,1048.111675,10964475110592,9.559159598871212e-09
90,Russia,2014,-7.0131181433366665,4.971261442916666,17.00,5.1,11.9,5.2,13.0,20.0,29.5,35.8,25.0,51.9,70.0,55.8,69.4,74.6,25,30,-0.9988041071,73.05526976,17805.4531,287702640,0.0061888389692913
91,Russia,2015,3.146125261416666,5.792203784083333,11.00,6.8,4.2,5.0,13.0,20.0,28.7,37.5,20.0,52.1,76.3,58.9,63.9,75.0,25,30,10.67781341,29.47312868,214803.7,383432300,0.0560212845918301
92,Russia,2016,6.896939351333334,-8.756606156875,10.00,7.8,2.2,6.3,13.0,20.0,34.8,38.2,20.0,50.6,72.2,57.6,62.9,72.4,25,30,28.71966927,-17.60030288,348056.7,1028608400,0.0338376295585375
93,Russia,2017,28.065492575416666,-19.376205076833333,7.75,15.5,-7.75,4.9,13.0,20.0,35.3,36.4,47.6,57.1,74.8,50.8,57.3,75.2,30,30,-5.992305836,-4.594531205,272617.17,30386367280,0.0008971693374463
94,Russia,2018,-3.585390537083333,3.3038206738916664,7.75,7.0,0.75,2.8,13.0,20.0,29.2,35.3,48.7,58.2,77.0,52.0,60.8,79.4,30,30,8.101593183,20.76173212,278186.64,66562087763,0.0004179355686535
