Currency,Date,Price ($)
CZK,2019-07-01,10605.59523
CZK,2019-08-01,10173.7119
CZK,2019-09-01,9695.219422
CZK,2019-10-01,8435.561978
CZK,2019-11-01,9191.513395
CZK,2019-12-01,7421.615467
CZK,2020-01-01,7254.796405
CZK,2020-02-01,9373.860095
CZK,2020-03-01,8589.176435
CZK,2020-04-01,6432.072652
CZK,2020-05-01,8813.61647
CZK,2020-06-01,9701.605854
CZK,2020-07-01,9226.527049
CZK,2020-08-01,11099.89998
CZK,2020-09-01,11788.42372
CZK,2020-10-01,10773.37627
CZK,2020-11-01,13655.08659
CZK,2020-12-01,18812.72439
CZK,2021-01-01,28621.17795
CZK,2021-02-01,33396.23093
CZK,2021-03-01,47848.45314
CZK,2021-04-01,58798.98413
CZK,2021-05-01,57968.9892
CZK,2021-06-01,37206.46187
CZK,2021-07-01,33774.96148
CZK,2021-08-01,40728.15969
CZK,2021-09-01,47925.49546
CZK,2021-10-01,45374.67565
CZK,2021-11-01,61421.8204
CZK,2021-12-01,57801.81399
CZK,2022-01-01,47102.39309
CZK,2022-02-01,38946.38256
CZK,2022-03-01,42930.98963
CZK,2022-04-01,45466.78747
CZK,2022-05-01,38203.28265
CZK,2022-06-01,30739.92941
CZK,2022-07-01,19873.39408
CZK,2022-08-01,23203.36382
CZK,2022-09-01,19922.78519
CZK,2022-10-01,19392.14751
CZK,2022-11-01,20439.0684
CZK,2022-12-01,17117.348
IDR,2014-01-01,610.5139691
IDR,2014-02-01,786.0506847
IDR,2014-03-01,668.825
IDR,2014-04-01,718.3036937
IDR,2014-05-01,700.4878186
IDR,2014-06-01,559.1434907
IDR,2014-07-01,659.7423794
IDR,2014-08-01,662.1014106
IDR,2014-09-01,670.7511915
IDR,2014-10-01,406.1403154
IDR,2014-11-01,325.8978136
IDR,2014-12-01,375.9527303
IDR,2015-01-01,316.1876963
IDR,2015-02-01,252.7811716
IDR,2015-03-01,244.7740027
IDR,2015-04-01,275.507248
IDR,2015-05-01,195.1272053
IDR,2015-06-01,286.527514
IDR,2015-07-01,251.680305
IDR,2015-08-01,305.6915855
IDR,2015-09-01,228.42
IDR,2015-10-01,236.4349662
IDR,2015-11-01,327.6480021
IDR,2015-12-01,368.9718157
IDR,2016-01-01,433.6020134
IDR,2016-02-01,378.1813822
IDR,2016-03-01,443.9479838
IDR,2016-04-01,424.9910412
IDR,2016-05-01,455.1418681
IDR,2016-06-01,539.6193007
IDR,2016-07-01,681.1048071
IDR,2016-08-01,619.1029988
IDR,2016-09-01,572.3670592
IDR,2016-10-01,613.0856233
IDR,2016-11-01,731.1078164
IDR,2016-12-01,767.604916
IDR,2017-01-01,969.3317162
IDR,2017-02-01,965.2060846
IDR,2017-03-01,1202.469172
