Country,Year,Interest Rate,Inflation,Real Interest Rate,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Property Rights,Economic Freedom,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Australia,2019,0.75,2,-1.25,1.2,45,30,28.2,36.5,79.1,80.9,88.3,84.1,86.6,87.6,80,90
South Africa,2019,6.50,5.3,1.20,4.5,45,28,31.3,32.8,58.8,58.3,64.3,59.1,75.2,76,45,50
Israel,2019,0.25,0.2,0.05,2.8,48,23,32.7,39.8,80,72.8,71.4,65.1,86.2,84.4,75,70
Russia,2020,4.25,2.9,1.35,3.6,13,20,24.2,34.7,56.8,61,80.2,52.1,68.2,77.8,30,30
Turkey,2020,15.50,16.3,-0.80,3.5,35,22,24.9,34.6,57.4,64.4,67,49.2,66.1,78,70,60
Czech Republic,2020,0.25,2.2,-1.95,1.8,15,19,34.9,39.7,76.8,74.8,69.7,77.6,80.8,86.4,80,80
United Kingdom,2020,...,2.5,2.5,1.8,45,20,33.3,41,92.2,79.3,94.7,73.1,80.3,86.4,80,80
Switzerland,2020,-0.75,0.9,-1.65,1.7,11.5,8.5,28.5,34,87.4,82,74.2,72.4,84.4,86.6,85,90
Brazil,2020,2.00,3.7,-1.70,8.6,27.5,34,32.3,38.9,57.3,53.7,60.5,49.5,77.2,67.8,60,50
Argentina,2020,38.00,34.3,3.70,7.9,35,30,30.3,40.5,50.5,53.1,60.2,46.5,53.7,69.2,55,60
Mexico,2020,4.25,4.9,-0.65,1.2,35,30,16.2,26.3,58.3,66,67,58.4,70.9,87.6,75,60
Colombia,2020,1.75,3.2,-1.45,4.4,39,33,18.8,27.7,61.1,69.2,71.3,78,77.5,81.2,80,70
Canada,2020,0.25,0.9,-0.65,1.5,33,15,32.2,40.5,87.7,78.2,81.7,72,76,87,80,80
United States,2020,0.13,2.4,-2.28,2.6,37,21,27.1,38.1,81.8,76.6,83.3,87.9,75.5,79.8,85,80
Malaysia,2020,1.75,1,0.75,4,25,25,13.6,22.6,86.5,74.7,87.8,74.5,81.6,82,60,50
Indonesia,2020,3.75,3.2,0.55,2.1,30,25,11.5,16.7,59.8,67.2,70,49.2,78.4,80.8,50,60
Japan,2020,-0.10,1,-1.10,2.5,40.8,23.9,30.6,38.4,86.6,73.3,81.4,78.7,84.4,80,70,60
Thailand,2020,0.50,1.1,-0.60,3.5,35,20,17.6,21.7,59.5,69.4,83,63.7,74,83,55,60
South Korea,2020,0.50,1.5,-1.00,5,42,25,26.9,32.8,82.5,74,90.5,56.2,82.1,80,70,70
New Zealand,2020,0.25,1.6,-1.35,1.4,33,28,32,37.5,93.3,84.1,90.4,86.7,87,92.2,80,80
Singapore,2020,1.06,0.4,0.66,0.1,22,17,14.1,17.2,96.8,89.4,92.8,90.9,85.6,94.8,85,80
Australia,2020,0.10,2,-1.90,0.9,45,30,27.8,35.8,82.8,82.6,87.8,84,86.2,88.2,80,90
South Africa,2020,3.50,4.6,-1.10,4.6,45,28,28.6,33,58.4,58.8,62,58.8,75.9,75.8,45,50
Israel,2020,0.10,0.8,-0.70,1.9,48,23,32.7,39.4,82.3,74,72.2,64.4,84.9,86.2,75,70
Russia,2021,8.50,4.5,4.00,5.5,13,20,11.4,33.6,54.4,61.5,84.1,55.4,67.3,74,30,30
Turkey,2021,12.50,15.2,-2.70,4.5,40,22,24.4,34.4,61.5,64,68.5,48.8,65.4,76,70,60
Czech Republic,2021,3.75,2.9,0.85,3,22,19,35.3,40.2,76.2,73.8,68.8,77.1,79.7,84,70,80
United Kingdom,2021,...,1.8,1.8,3,45,19,33.5,38.8,87.6,78.4,94.4,73.2,81,84,80,80
Switzerland,2021,-0.75,0.4,-1.15,2,11.5,8.5,27.9,32.8,85.4,81.9,73.6,72.5,85.4,86,85,90
Brazil,2021,9.25,3.7,5.55,10.2,27.5,34,32.9,38.1,55,53.4,58,50.7,77.8,64.6,60,50
Argentina,2021,38.00,53.5,-15.50,13.7,35,30,28.9,39.6,46.1,52.7,59.5,46.3,41.9,62.6,55,60
Mexico,2021,5.50,3.6,1.90,4.2,35,30,16.1,25.9,53.4,65.5,65.6,58.2,72.1,81.6,75,60
Colombia,2021,3.00,3.5,-0.50,6.5,39,32,22,32,59.8,68.1,71,77.7,78.1,77,80,70
Canada,2021,0.25,1.9,-1.65,3.1,33,15,33,40.9,84.5,77.9,81.4,72.4,76.1,88.8,80,80
United States,2021,0.13,1.8,-1.68,2.3,37,21,24.3,35.5,79.7,74.8,82.5,87.1,81.1,80.4,85,80
Malaysia,2021,1.75,0.7,1.05,3.8,30,24,12,22.8,85.1,74.4,86.7,73.9,83.6,82.4,60,50
Indonesia,2021,3.50,2.8,0.70,5.4,30,25,10.2,16.5,59.4,66.9,71.3,49.2,79,79.2,50,60
Japan,2021,-0.10,0.5,-0.60,2.3,40.8,23.9,31.4,37.5,87.8,74.1,85.9,79,85.1,80.4,60,60
